Job Title,Company Name,Company Logo,Location,Source URL,Posted Date
Jr. UX/UI Developer,Misr Technology Services,,"Heliopolis, Cairo, Egypt",https://eg.linkedin.com/jobs/view/jr-ux-ui-developer-at-misr-technology-services-4138413415?position=30&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=J1cFygBiWHRrjw7F1dHvdQ%3D%3D,2025-01-29
Developer,SWATX,,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/developer-at-swatx-4225514552?position=31&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=NquwAjMYJnefuuxKgoP5%2Bw%3D%3D,2025-04-12
Software Engineer,SSC HR Solutions,,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/software-engineer-at-ssc-hr-solutions-4225502174?position=32&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=HQgoRINWxx76NG1v5szlFg%3D%3D,2025-04-12
Android Developer,Al Ahly Momkn For E-payments,,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/android-developer-at-al-ahly-momkn-for-e-payments-4225804163?position=33&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=U0bV7vMRvb1f3Ev7%2BVORug%3D%3D,2025-05-11
Staff Software Engineer -Backend,talabat,,"Qesm El Maadi, Cairo, Egypt",https://eg.linkedin.com/jobs/view/staff-software-engineer-backend-at-talabat-4230044841?position=34&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=W2v%2Fc8vqup1PA5bvEafraQ%3D%3D,2025-05-14
PHP Software Engineer - Jumia (Full Time),Jumia Group,,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/php-software-engineer-jumia-full-time-at-jumia-group-4202260432?position=35&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=2F9AZCDmDw8k8BiUD453BQ%3D%3D,2025-04-06
Software Development Engineer,Siemens,,"Qesm 2nd New Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/software-development-engineer-at-siemens-3934556490?position=36&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=Ul5I0bYeFIrcz%2Fn%2BBenVsA%3D%3D,2025-05-13
Junior Java Developer,Advansys,,"6th of October, Cairo, Egypt",https://eg.linkedin.com/jobs/view/junior-java-developer-at-advansys-4224339281?position=37&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=vj5sMXDHisqi0N8YJGbBAg%3D%3D,2025-04-11
Full Stack Developer,Arcsen,,"Qesm El Maadi, Cairo, Egypt",https://eg.linkedin.com/jobs/view/full-stack-developer-at-arcsen-4225545341?position=38&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=1W%2BD26xREUGKSfjtaF731w%3D%3D,2025-04-12
Backend Engineer / C++,blnk,,"Giza, Al Jizah, Egypt",https://eg.linkedin.com/jobs/view/backend-engineer-c%2B%2B-at-blnk-4192373894?position=39&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=sPl4YsUc1Aqhacuhiw3w1Q%3D%3D,2025-03-27
Junior Software Quality Engineer (Testing),Bosta,,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/junior-software-quality-engineer-testing-at-bosta-4194408632?position=40&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=c2GOXtGpcEw4OsGMpInPQA%3D%3D,2025-03-26
Front-End Developer (Angular),Müller's Solutions,,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/front-end-developer-angular-at-m%C3%BCller-s-solutions-4225522776?position=41&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=i9KAR85GiKwGBGup1EoqJw%3D%3D,2025-04-12
Full-Stack Developer,Dsquares,,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/full-stack-developer-at-dsquares-4225539738?position=42&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=O1RJbp2eHVnMEum5kK%2F59g%3D%3D,2025-04-12
Frontend Developer,Seena Pay,,"Cairo, Egypt",https://eg.linkedin.com/jobs/view/frontend-developer-at-seena-pay-4230520063?position=43&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=ZE1HOfweIQSiA5sJWG7s0w%3D%3D,2025-05-18
Frontend Software Engineer,Siemens EDA (Siemens Digital Industries Software),,"Qesm 2nd New Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/frontend-software-engineer-at-siemens-eda-siemens-digital-industries-software-4218052862?position=44&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=KFTMGLKQGPHpD%2B4r29DDog%3D%3D,2025-04-30
Javascript Developer - Remote Work,BairesDev,,"Cairo, Egypt",https://eg.linkedin.com/jobs/view/javascript-developer-remote-work-at-bairesdev-4227636787?position=45&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=1FcFITjbt9wiTF2IP2YK4g%3D%3D,2025-05-14
Back End Developer,SSC HR Solutions,,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/back-end-developer-at-ssc-hr-solutions-4226349693?position=46&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=0PNGoYRpHhz%2Faq15pCOknw%3D%3D,2025-05-08
Software Engineer II Backend,talabat,,"Qesm El Maadi, Cairo, Egypt",https://eg.linkedin.com/jobs/view/software-engineer-ii-backend-at-talabat-4217589326?position=47&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=j3LUYmiazQsQSkA%2BcygQxQ%3D%3D,2025-05-06
Software Backend Development Engineer,Siemens Digital Industries Software,,"Qesm 2nd New Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/software-backend-development-engineer-at-siemens-digital-industries-software-4138304877?position=48&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=gna%2FeC8UpmcufH1P8HHg3A%3D%3D,2025-04-27
Data Analytics & Insights Analyst,Coca-Cola HBC,,"Cairo, Egypt",https://eg.linkedin.com/jobs/view/data-analytics-insights-analyst-at-coca-cola-hbc-4219849303?position=49&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=7jzuZlvSxYFpS9Eq0OkyEQ%3D%3D,2025-04-30
Backend developer,SSC HR Solutions,,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/backend-developer-at-ssc-hr-solutions-4225396708?position=50&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=NCyy%2FwMZdWKaA8cEsRWTbQ%3D%3D,2025-04-12
Software Development Engineer,Siemens Digital Industries Software,,"Qesm 2nd New Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/software-development-engineer-at-siemens-digital-industries-software-4169519002?position=51&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=n5oJ2RJ0Xjt8uOssOUHhDw%3D%3D,2025-05-04
SSP - R&D Front End Developer Intern,Siemens,,"Qesm 2nd New Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/ssp-r-d-front-end-developer-intern-at-siemens-4222819563?position=52&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=nvl4%2BgkKI1GeO%2FlM%2BJN%2F2A%3D%3D,2025-05-06
Software Development Engineer,Siemens Digital Industries Software,,"Qesm 2nd New Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/software-development-engineer-at-siemens-digital-industries-software-4143599542?position=53&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=%2B2ZROcJWtCOZTxldKfxwjQ%3D%3D,2025-05-03
MySql Database Developer,Müller's Solutions,,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/mysql-database-developer-at-m%C3%BCller-s-solutions-4225521658?position=54&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=Ao3pnoxtnAa%2Bm3HBkehEpA%3D%3D,2025-04-12
Principal Software Engineer,Orascom Investment Holding,,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/principal-software-engineer-at-orascom-investment-holding-4212146073?position=55&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=PggzyTNqoLiJgqRH50Iw0Q%3D%3D,2025-04-17
Mid Frontend Developer,BlackStone eIT,,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/mid-frontend-developer-at-blackstone-eit-4225386403?position=56&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=gP9hbe26mIElVb1Ono%2FRVg%3D%3D,2025-04-12
Junior Business Developer (Hybrid),Bayantech,,"Giza, Al Jizah, Egypt",https://eg.linkedin.com/jobs/view/junior-business-developer-hybrid-at-bayantech-4225867627?position=57&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=LDVL3FDziwiYcWDu%2FsR7Tw%3D%3D,2025-05-12
Full-Stack Developer (Arabic & English Speaker),SWATX,,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/full-stack-developer-arabic-english-speaker-at-swatx-4225517408?position=58&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=EwUurlH7%2Bi6OgauoNiRhvw%3D%3D,2025-04-12
Frontend Software Developer (Angular),Advansys,,"6th of October, Cairo, Egypt",https://eg.linkedin.com/jobs/view/frontend-software-developer-angular-at-advansys-4224337588?position=59&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=2mmBpOjhAFr9e0SBNWugxg%3D%3D,2025-04-11
Full Stack Developer,PaxeraHealth,https://media.licdn.com/dms/image/v2/D4E0BAQGNe7ACuzLupw/company-logo_100_100/company-logo_100_100/0/1731432796279/paxerahealthcorp_logo?e=2147483647&v=beta&t=_kEjuLfziNHEeKJm9gHSJPWE0K1g3DRcaXmqlUzkJS4,"Qesm 2nd 6 October, Al Jizah, Egypt",https://eg.linkedin.com/jobs/view/full-stack-developer-at-paxerahealth-4183182143?position=60&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=AR5sP1YVUPKh1UQQgC3%2BEQ%3D%3D,2025-03-12
Backend Software Engineer,Soum,https://media.licdn.com/dms/image/v2/D4D0BAQHTX4yeYZdyjA/company-logo_100_100/company-logo_100_100/0/1737541455639/soum_sa_logo?e=2147483647&v=beta&t=AtkrjaMqxgkm2PVGG8iLq1QHXZTQAbk4Aix8dMWGF8g,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/backend-software-engineer-at-soum-4224184350?position=1&pageNum=2&refId=GmCgk98qziZeZZW7EXURYg%3D%3D&trackingId=0mwD9P4f0%2F8rPhsFC9MZOw%3D%3D,2025-04-11
